titleType,startYear,runtimeMinutes,averageRating,numVotes,region,main_genre,secondary_genre
movie,1990,105,"7,9",504714,IN,Drama,Fantasy
movie,1990,145,"8,7",1197758,IN,Biography,Crime
movie,1990,98,"8,2",21372,IN,Biography,Crime
movie,1991,120,8,4188,IN,Drama,No tiene
movie,1991,84,8,466172,IN,Animation,Family
movie,1991,125,"8,1",34050,IN,Drama,Romance
movie,1991,157,"8,5",12793,IN,Action,Crime
tvSeries,1992,23,9,109376,IN,Action,Adventure
tvSeries,1992,30,"8,5",8955,IN,Comedy,No tiene
movie,1992,90,8,440161,IN,Adventure,Animation
movie,1992,174,"8,2",23797,IN,Comedy,Drama
movie,1992,99,"8,3",1046967,IN,Crime,Thriller
movie,1992,137,"8,1",13319,IN,Drama,Romance
movie,1992,145,"8,7",7617,IN,Drama,No tiene
movie,1992,130,"8,2",422327,IN,Drama,Western
tvSeries,1993,45,"8,3",8922,IN,Action,Adventure
tvSeries,1993,21,"7,9",24875,IN,Adventure,Animation
tvSeries,1992,60,"8,3",4687,IN,Comedy,Romance
tvSeries,1993,45,"8,4",33117,IN,Action,Adventure
tvSeries,1993,23,"8,1",44762,IN,Comedy,Drama
tvSeries,1993,100,"8,5",7380,IN,Crime,Drama
tvSeries,1993,22,"8,2",88603,IN,Comedy,No tiene
tvSeries,1993,60,"8,7",13422,IN,Crime,Drama
tvSeries,1993,30,"7,9",21128,IN,Animation,Comedy
tvSeries,1993,45,"8,1",66948,IN,Action,Adventure
tvSeries,1993,45,"8,6",235586,IN,Crime,Drama
movie,1993,180,"7,9",32811,IN,Crime,Drama
movie,1993,144,"7,9",225123,IN,Crime,Drama
movie,1993,101,8,653789,IN,Comedy,Drama
movie,1993,133,"8,1",180501,IN,Biography,Crime
movie,1993,127,"8,2",1019693,IN,Action,Adventure
movie,1993,195,9,1390651,IN,Biography,Drama
movie,1993,94,"7,9",106446,IN,Drama,Music
movie,1993,119,"7,9",234094,IN,Crime,Drama
tvSeries,1994,44,"7,9",64392,IN,Drama,Romance
tvSeries,1994,22,"8,9",1031971,IN,Comedy,Romance
tvSeries,1994,30,"8,1",17491,IN,Action,Adventure
tvSeries,1994,60,"8,4",21353,IN,Comedy,Drama
tvSeries,1994,561,"8,2",19738,IN,Comedy,Drama
tvSeries,1993,15,"7,9",7489,IN,Animation,Comedy
movie,1994,160,8,54296,IN,Action,Comedy
movie,1994,102,8,88621,IN,Comedy,Crime
movie,1994,119,8,20976,IN,Biography,Comedy
movie,1994,142,"8,8",2146507,IN,Drama,Romance
movie,1994,170,"8,3",27245,IN,Documentary,Drama
movie,1994,102,"7,9",35654,IN,Crime,Drama
movie,1994,113,"7,9",15418,IN,Drama,Romance
movie,1994,99,"8,1",106646,IN,Drama,Mystery
tvSeries,1995,60,"8,1",4703,IN,Drama,Horror
tvSeries,1995,25,"8,7",42097,IN,Comedy,No tiene
tvSeries,1994,30,"8,3",8080,IN,Adventure,Animation
tvSeries,1995,23,8,16599,IN,Comedy,Romance
tvMiniSeries,1995,327,"8,8",88199,IN,Drama,Romance
tvSeries,1995,24,"8,5",76572,IN,Action,Animation
movie,1995,101,"8,1",322210,IN,Drama,Romance
movie,1995,178,"8,3",1058779,IN,Biography,Drama
movie,1995,178,"8,2",537387,IN,Crime,Drama
movie,1995,189,8,73234,IN,Drama,Romance
movie,1995,98,"8,1",182583,IN,Crime,Drama
movie,1995,170,"8,3",680803,IN,Action,Crime
movie,1995,83,"7,9",149182,IN,Action,Animation
movie,1995,81,"8,3",1023353,IN,Adventure,Animation
movie,1995,129,8,630950,IN,Mystery,Sci-Fi
movie,1995,170,"8,1",59744,IN,Comedy,Drama
tvSeries,1996,22,"8,3",47688,IN,Comedy,News
tvSeries,1996,23,"7,9",51362,IN,Adventure,Animation
tvSeries,1996,45,8,11709,IN,Crime,Drama
tvSeries,1996,120,"7,9",11146,IN,Crime,Drama
tvSeries,1996,30,"8,1",16718,IN,Action,Adventure
movie,1996,128,"8,1",70992,IN,Crime,Drama
movie,1996,98,"8,1",695096,IN,Crime,Thriller
movie,1996,185,"8,1",13217,IN,Action,Drama
movie,1996,135,8,96343,IN,Drama,No tiene
movie,1996,93,"8,1",703121,IN,Drama,No tiene
tvSeries,1997,44,"8,3",153008,IN,Action,Drama
tvSeries,1997,30,"8,1",26264,IN,Animation,Comedy
tvSeries,1997,60,"8,1",8474,IN,Comedy,Crime
tvSeries,1997,90,"7,9",36218,IN,Crime,Drama
tvSeries,1997,55,"8,7",102778,IN,Crime,Drama
tvSeries,1997,30,"8,1",9440,IN,Action,Adventure
tvSeries,1997,44,"8,4",97399,IN,Action,Adventure
movie,1998,117,"8,1",830030,IN,Comedy,Crime
movie,1997,155,"7,9",273498,IN,Drama,No tiene
movie,1997,176,"7,9",16895,IN,Action,Drama
movie,1997,116,"8,6",713900,IN,Comedy,Drama
movie,1997,89,"8,2",77132,IN,Drama,Family
movie,1997,126,"8,3",1008518,IN,Drama,Romance
movie,1997,138,"8,2",595118,IN,Crime,Drama
movie,1997,134,"8,3",408986,IN,Action,Adventure
movie,1999,92,"7,9",598134,IN,Adventure,Animation
movie,1998,119,"8,5",1147021,IN,Crime,Drama
movie,2000,84,"7,1",200051,IN,Adventure,Animation
movie,2002,123,"7,3",92664,IN,Biography,Drama
movie,2001,122,"6,7",159972,IN,Horror,Mystery
movie,1999,189,"8,6",1341768,IN,Crime,Drama
movie,1998,107,"8,1",597004,IN,Action,Comedy
movie,2001,178,"8,8",1923140,IN,Action,Adventure
movie,2002,100,"6,6",279494,IN,Action,Horror
movie,1998,169,"8,6",1429540,IN,Drama,War
movie,2000,104,"7,3",629230,IN,Action,Adventure
movie,2002,142,"6,6",732151,IN,Action,Adventure
movie,2005,140,"7,6",814945,IN,Action,Adventure
tvSeries,1997,22,"8,7",390292,IN,Animation,Comedy
movie,2001,90,"7,9",702925,IN,Adventure,Animation
tvSeries,1997,23,"7,9",26872,IN,Adventure,Animation
tvSeries,1993,22,"8,4",4602,IN,Action,Adventure
movie,1999,86,"8,1",211121,IN,Action,Adventure
movie,1999,136,"8,7",1966414,IN,Action,Sci-Fi
movie,2002,95,"7,2",125824,IN,Adventure,Animation
movie,1997,136,"8,5",3354,IN,Drama,Fantasy
movie,2000,109,7,247648,IN,Action,Horror
movie,1999,139,"8,8",2197234,IN,Drama,No tiene
movie,2001,122,"7,7",452030,IN,Action,Crime
movie,1995,145,"8,3",10900,IN,Action,Crime
tvSeries,1999,55,"9,2",428052,IN,Crime,Drama
movie,2000,116,"6,6",84288,IN,Action,War
movie,2000,102,"7,6",661273,IN,Crime,Drama
movie,2002,121,"7,4",843396,IN,Action,Adventure
tvSeries,1999,23,"8,1",29095,IN,Action,Adventure
tvSeries,1999,22,"8,5",247376,IN,Adventure,Animation
movie,1991,150,"8,4",3193,IN,Drama,No tiene
movie,2000,154,"7,4",3639,IN,Drama,Romance
tvMiniSeries,1995,165,8,6418,IN,Animation,Comedy
movie,2003,154,"7,2",152419,IN,Adventure,Drama
movie,2001,141,"7,5",13676,IN,Biography,Drama
tvSeries,1999,44,"7,9",73124,IN,Action,Drama
movie,2000,143,"7,8",611729,IN,Adventure,Drama
movie,2001,111,"7,3",123785,IN,Comedy,Drama
movie,2000,119,"6,6",246422,IN,Adventure,Drama
tvSeries,1998,22,"8,1",183554,IN,Comedy,Drama
tvSeries,1998,30,"8,3",8358,IN,Comedy,Drama
movie,2003,88,"6,7",57140,IN,Adventure,Animation
movie,2002,83,"7,2",80927,IN,Adventure,Animation
movie,2004,122,"6,8",339381,IN,Action,Adventure
movie,2003,201,9,1894712,IN,Action,Adventure
movie,2002,179,"8,8",1709910,IN,Action,Adventure
movie,2000,140,"7,9",113308,IN,Crime,Drama
movie,2001,224,"8,1",117287,IN,Drama,Musical
tvSeries,1999,30,"8,4",3144,IN,Adventure,Family
movie,1999,122,"8,3",1176559,IN,Drama,No tiene
movie,1997,87,"8,1",59085,IN,Action,Animation
movie,2003,147,"6,6",259165,IN,Action,Comedy
movie,1999,188,8,320250,IN,Drama,No tiene
tvSeries,1998,30,8,3858,IN,Adventure,Reality-TV
movie,2000,130,"6,5",172931,IN,Action,Adventure
tvSeries,1991,30,"8,3",18662,IN,Action,Adventure
movie,2000,124,"7,2",55598,IN,Biography,Drama
movie,2000,102,"8,3",864766,IN,Drama,No tiene
movie,2000,136,"7,3",87920,IN,Drama,No tiene
movie,2002,145,"7,6",566916,IN,Action,Crime
movie,2000,122,"7,9",284621,IN,Adventure,Comedy
tvSeries,1999,22,"8,2",351953,IN,Animation,Comedy
tvSeries,1996,24,"8,5",19899,IN,Action,Adventure
movie,2002,81,"7,1",276977,IN,Crime,Mystery
movie,2000,88,"6,5",57523,IN,Action,Comedy
tvSeries,1999,60,"8,4",11771,IN,Comedy,Horror
movie,2000,110,"6,6",131644,IN,Action,Adventure
tvMiniSeries,2001,594,"9,4",487642,IN,Drama,History
movie,2000,118,"7,4",112058,IN,Crime,Drama
movie,2000,165,"7,2",283702,IN,Action,Drama
tvSeries,1999,50,"8,3",38709,IN,Action,Adventure
tvSeries,1999,25,"8,5",56090,IN,Action,Comedy
movie,2002,117,"6,7",226349,IN,Action,Horror
movie,2000,92,"6,9",43116,IN,Drama,Horror
movie,2000,120,"7,9",276176,IN,Action,Adventure
tvSeries,1999,44,"8,8",147789,IN,Comedy,Drama
tvSeries,1999,22,"8,1",6366,IN,Comedy,No tiene
movie,1998,170,"8,3",15829,IN,Action,Crime
movie,2000,93,"6,9",18941,IN,Comedy,Crime
movie,2000,131,"7,4",208262,IN,Biography,Drama
movie,2000,98,"6,7",266717,IN,Horror,Thriller
movie,2001,90,"6,5",282019,IN,Comedy,No tiene
movie,2004,141,"6,5",3535,IN,Biography,Drama
movie,2001,92,"8,1",936588,IN,Adventure,Animation
movie,1999,174,"8,1",26288,IN,Action,Drama
tvSeries,1999,44,"8,9",80903,IN,Drama,No tiene
movie,2008,111,"7,2",185607,IN,Crime,Drama
movie,2001,127,"7,6",292000,IN,Drama,Musical
movie,2000,129,"7,2",121249,IN,Biography,Drama
movie,2000,89,"7,3",63970,IN,Crime,Drama
movie,2000,111,"7,5",30707,IN,Drama,No tiene
tvSeries,1999,60,"8,1",115339,IN,Crime,Drama
tvSeries,2000,60,"7,3",33736,IN,Action,Drama
movie,2001,97,"6,6",72702,IN,Action,Mystery
tvSeries,2000,30,"7,6",15013,IN,Comedy,Family
tvSeries,1999,23,"8,2",104842,IN,Animation,Comedy
movie,2006,109,"7,9",513043,IN,Action,Drama
movie,2000,104,"8,2",877049,IN,Comedy,Crime
tvMiniSeries,2000,180,"7,3",6723,IN,Drama,History
movie,2000,113,"8,4",1268324,IN,Mystery,Thriller
movie,2000,103,"6,7",14305,IN,Crime,Drama
movie,2000,115,"6,7",22238,IN,Drama,Music
movie,2000,113,"7,8",223211,IN,Biography,Drama
movie,2000,82,"6,7",6733,IN,Comedy,Drama
movie,2007,84,"6,5",77598,IN,Crime,Drama
movie,2000,108,7,344407,IN,Comedy,Romance
tvSeries,2000,22,"8,2",136561,IN,Comedy,Family
movie,2004,129,"7,4",59706,IN,Drama,Romance
movie,2001,131,"6,8",283645,IN,Crime,Drama
tvSeries,2000,43,"6,6",14344,IN,Action,Adventure
tvSeries,1998,24,"8,9",127940,IN,Action,Adventure
movie,2000,108,"7,4",107289,IN,Drama,Romance
movie,2000,216,7,31503,IN,Drama,Musical
tvMiniSeries,1999,30,"8,5",6582,IN,Animation,Documentary
movie,1993,169,"8,8",11452,IN,Comedy,Horror
movie,2000,135,"6,6",11997,IN,Comedy,Drama
movie,2001,131,"7,5",269696,IN,Action,Drama
movie,2000,103,"7,6",33616,IN,Action,Animation
movie,2000,117,"7,1",11725,IN,Comedy,Drama
movie,2002,167,"7,5",455594,IN,Crime,Drama
movie,2000,106,"7,3",428911,IN,Drama,Mystery
movie,2000,125,"6,8",114390,IN,Comedy,Drama
tvSeries,2000,120,"7,4",3321,IN,Action,Comedy
movie,2000,87,"6,8",6870,IN,Drama,No tiene
movie,1999,169,"8,4",8080,IN,Action,Drama
tvSeries,1999,11,"8,3",48102,IN,Adventure,Animation
movie,2001,124,"7,5",267799,IN,Biography,Crime
movie,2000,186,"7,9",13465,IN,Crime,Drama
movie,2000,123,"7,2",121574,IN,Drama,No tiene
tvMiniSeries,2000,376,"8,6",5287,IN,Crime,Drama
movie,2001,124,"6,8",131112,IN,Action,Crime
movie,2000,106,"6,9",63844,IN,Crime,Mystery
movie,2001,95,"6,9",127058,IN,Action,Adventure
movie,2001,101,"7,6",377993,IN,Horror,Mystery
movie,2001,119,"6,7",92683,IN,Drama,Romance
movie,2001,106,"6,8",403224,IN,Action,Crime
tvSeries,2000,30,"6,5",5210,IN,Animation,Comedy
movie,2003,138,"7,2",610493,IN,Action,Sci-Fi
tvSeries,2000,30,"6,9",6906,IN,Animation,Drama
tvSeries,2001,30,"7,2",43556,IN,Adventure,Animation
tvSeries,2000,30,"8,6",46610,IN,Comedy,Romance
movie,2001,142,7,68931,IN,Action,Adventure
movie,2001,124,"6,8",63370,IN,Crime,Drama
movie,2002,107,"7,3",339205,IN,Action,Drama
tvSeries,2000,44,"8,2",135808,IN,Comedy,Drama
tvSeries,2000,60,"7,7",3511,IN,Comedy,Drama
movie,2002,185,"7,5",44313,IN,Drama,Musical
tvSeries,2000,60,"7,5",26206,IN,Adventure,Game-Show
movie,2005,117,"7,7",15157,IN,Drama,No tiene
movie,2001,116,"7,7",593991,IN,Crime,Thriller
movie,2001,90,"6,8",117077,IN,Comedy,Romance
movie,2000,92,"7,1",11157,IN,Drama,Mystery
tvSeries,2000,30,8,17948,IN,Comedy,No tiene
movie,2000,121,"7,3",196558,IN,Drama,Romance
movie,2001,152,"7,6",813552,IN,Adventure,Family
movie,2001,108,"6,9",39518,IN,Biography,Crime
movie,2000,156,"8,1",69678,IN,Action,Comedy
movie,2001,97,"7,1",10265,IN,Crime,Drama
movie,2003,129,"6,7",527193,IN,Action,Sci-Fi
movie,2001,97,"6,5",59297,IN,Comedy,Romance
movie,2001,99,"6,5",192117,IN,Action,Crime
movie,2001,103,"6,8",21779,IN,Drama,Romance
movie,2001,125,"8,6",795146,IN,Adventure,Animation
movie,2000,154,"8,1",246079,IN,Drama,Thriller
movie,2002,131,"7,7",143141,IN,Action,Adventure
movie,2001,113,8,822125,IN,Drama,Mystery
movie,2002,97,7,26129,IN,Crime,Drama
tvSeries,2000,60,"7,7",86216,IN,Crime,Drama
tvSeries,2000,30,"7,4",4800,IN,Comedy,No tiene
tvSeries,2000,30,"6,9",7665,IN,Comedy,No tiene
movie,2001,131,"7,4",41192,IN,Crime,Drama
movie,2000,114,"7,9",54989,IN,Crime,Drama
tvSeries,2000,23,"7,8",12486,IN,Action,Adventure
tvSeries,1996,30,"8,8",6854,IN,Crime,Documentary
tvSeries,2000,23,"8,2",3407,IN,Action,Adventure
movie,2001,210,"7,4",52533,IN,Drama,Musical
movie,2000,154,"6,6",7389,IN,Action,Drama
tvSeries,2001,60,"8,7",139524,IN,Comedy,Drama
movie,2001,157,"6,7",102892,IN,Biography,Drama
tvSeries,2000,24,"7,3",22332,IN,Action,Adventure
movie,2000,110,"7,7",138791,IN,Drama,Music
movie,2001,120,"7,7",95073,IN,Drama,Thriller
movie,2002,124,"6,7",93175,IN,Drama,Romance
movie,2000,101,"6,8",4188,IN,Crime,Drama
movie,2002,116,"7,1",139148,IN,Crime,Drama
tvSeries,1998,24,"8,2",23051,IN,Action,Adventure
movie,1991,140,"8,4",3215,IN,Adventure,Comedy
movie,2001,109,"6,9",6449,IN,Drama,No tiene
movie,2001,131,"7,5",67999,IN,Drama,Music
movie,2000,161,"6,5",7814,IN,Drama,Romance
movie,1991,155,"8,6",4299,IN,Comedy,No tiene
movie,2001,121,"6,5",4328,IN,Drama,No tiene
movie,2001,107,"7,1",3436,IN,Documentary,No tiene
movie,2002,117,"7,7",276672,IN,Crime,Drama
tvSeries,2000,50,"7,5",10120,IN,Comedy,No tiene
tvSeries,2000,30,"7,4",20596,IN,Action,Adventure
movie,2001,136,"6,9",277011,IN,Fantasy,Mystery
tvSeries,2000,100,"7,9",6089,IN,Crime,Drama
tvSeries,2000,30,"6,6",3825,IN,Action,Adventure
tvSeries,2002,276,"8,1",6264,IN,Drama,History
movie,2000,110,"7,7",32402,IN,Action,Drama
tvSeries,2000,25,"8,5",60547,IN,Comedy,No tiene
tvSeries,1999,47,"8,5",21687,IN,Drama,Romance
movie,2000,105,"6,5",3733,IN,Action,Crime
tvSeries,2000,28,"8,8",135170,IN,Comedy,No tiene
movie,2002,141,"8,1",1027798,IN,Biography,Crime
movie,2001,125,"7,5",44852,IN,Drama,No tiene
movie,2001,144,"7,7",408915,IN,Action,Drama
movie,2004,109,"6,7",231060,IN,Comedy,Drama
movie,2001,114,"7,3",26222,IN,Comedy,Drama
movie,2002,96,"6,8",127483,IN,Drama,Thriller
movie,2001,110,"7,6",302856,IN,Comedy,Drama
tvSeries,1998,101,"7,9",3976,IN,Action,Adventure
movie,2000,114,"7,6",188833,IN,Action,Adventure
movie,2003,100,"8,2",1071008,IN,Adventure,Animation
movie,2003,111,"8,2",1145034,IN,Action,Crime
movie,2001,90,"6,7",229446,IN,Action,Comedy
movie,2001,126,7,161439,IN,Action,Crime
movie,2002,138,"6,7",65374,IN,Drama,History
movie,2002,81,"7,5",498308,IN,Adventure,Animation
movie,2001,135,"8,2",953389,IN,Biography,Drama
movie,2001,152,"6,9",56177,IN,Drama,Romance
movie,2002,113,7,90316,IN,Biography,Comedy
movie,2001,98,"6,6",65321,IN,Action,Crime
movie,1993,156,"8,4",3295,IN,Drama,No tiene
movie,2002,95,"7,3",170865,IN,Comedy,Drama
tvSeries,2002,26,"8,4",4728,IN,Comedy,No tiene
tvSeries,2001,22,"7,9",17287,IN,Comedy,No tiene
tvSeries,2001,30,"6,6",19909,IN,Comedy,Drama
tvSeries,2000,30,"6,9",28610,IN,Comedy,Family
movie,2002,99,"6,8",10525,IN,Comedy,Drama
movie,2001,115,"7,3",16098,IN,Crime,Drama
movie,2002,117,"7,3",38550,IN,Biography,Comedy
tvMovie,2002,90,"7,8",4278,IN,Biography,Drama
movie,2002,107,"6,9",94867,IN,Comedy,Drama
movie,2001,158,"7,2",11115,IN,Action,Drama
tvSeries,2001,22,"8,6",48914,IN,Action,Adventure
tvSeries,2001,60,"7,5",26636,IN,Crime,Drama
movie,2001,115,"7,8",50841,IN,Action,Animation
movie,2004,106,"7,4",61927,IN,Crime,Drama
movie,2001,86,"7,2",20673,IN,Drama,No tiene
movie,2002,101,"7,1",187961,IN,Comedy,Drama
movie,2003,178,8,153573,IN,Crime,Drama
movie,2001,132,"7,6",152687,IN,Drama,No tiene
movie,2001,158,"7,3",7842,IN,Action,Adventure
tvSeries,2001,25,"8,5",56466,IN,Action,Adventure
movie,2002,118,"7,2",304127,IN,Drama,Mystery
tvSeries,2002,22,"7,2",30182,IN,Action,Adventure
tvSeries,2000,11,"7,8",8190,IN,Animation,Comedy
movie,2002,118,"6,6",23183,IN,Crime,Drama
tvSeries,2001,60,"7,5",133003,IN,Action,Adventure
tvSeries,1995,24,"8,6",62307,IN,Action,Adventure
movie,2001,91,7,18747,IN,Biography,Drama
movie,2002,101,"7,3",216247,IN,Drama,Romance
tvSeries,2002,30,"8,9",8630,IN,Comedy,No tiene
movie,2002,101,"6,7",39946,IN,Comedy,Crime
movie,2001,119,7,6071,IN,Drama,Romance
movie,2001,98,"7,9",47994,IN,Comedy,Drama
movie,2001,170,"7,3",12705,IN,Action,Drama
tvSeries,2001,60,7,11866,IN,Crime,Drama
tvSeries,2001,44,"8,4",191904,IN,Action,Crime
tvSeries,2001,42,"7,6",52729,IN,Action,Drama
tvSeries,2001,60,"7,8",15041,IN,Adventure,Family
tvSeries,2001,30,"6,5",37298,IN,Comedy,Romance
tvSeries,2001,60,"7,4",5553,IN,Crime,Drama
tvSeries,2001,22,"8,4",262855,IN,Comedy,Drama
movie,1995,143,"8,6",4522,IN,Action,Drama
movie,2001,111,"7,1",91830,IN,Drama,Romance
movie,2003,104,7,13835,IN,Crime,Drama
movie,2002,106,"6,8",374097,IN,Drama,Mystery
movie,2001,113,"7,3",84467,IN,Action,Comedy
movie,2002,141,"6,8",4166,IN,Drama,Romance
tvSeries,2002,47,"8,7",83847,IN,Crime,Drama
movie,2002,112,"6,7",113548,IN,Comedy,Drama
movie,2001,119,"6,5",23268,IN,Horror,Mystery
movie,2002,112,"7,9",115166,IN,Drama,Mystery
movie,2002,113,"7,5",426329,IN,Drama,Horror
movie,2001,115,"7,5",6084,IN,Drama,Romance
movie,2002,73,"6,5",10598,IN,Action,Adventure
movie,2002,124,"7,2",282368,IN,Crime,Drama
movie,2003,130,"7,5",123301,IN,Crime,Drama
tvSeries,2000,24,"7,9",17112,IN,Action,Adventure
movie,2003,134,"7,4",562409,IN,Action,Sci-Fi
movie,2001,121,7,6414,IN,Drama,No tiene
movie,2002,97,"7,3",141305,IN,Crime,Drama
movie,1992,149,"8,4",4530,IN,Action,Comedy
tvSeries,2001,30,"8,5",117745,IN,Comedy,Drama
tvSeries,2001,30,"8,6",47182,IN,Comedy,Crime
movie,2001,187,"7,8",17161,IN,Action,Drama
movie,1993,187,"8,7",6019,IN,Action,Drama
movie,1995,150,"8,6",6117,IN,Action,Drama
movie,2007,117,"7,3",107525,IN,Crime,Drama
movie,2003,145,"7,5",20839,IN,Crime,Drama
movie,2001,137,8,49406,IN,Comedy,Drama
tvSeries,2001,30,"6,5",8144,IN,Animation,Comedy
tvSeries,2000,15,8,11886,IN,Animation,Comedy
movie,2002,154,"6,6",5257,IN,Action,Crime
movie,2002,161,"7,4",659568,IN,Adventure,Family
movie,2001,129,7,58228,IN,Action,Crime
tvMiniSeries,2001,389,9,41113,IN,Documentary,No tiene
movie,2002,142,8,15820,IN,Action,Crime
movie,2003,61,"6,8",6008,IN,Documentary,Family
movie,2001,146,"7,5",10056,IN,Crime,Drama
movie,2002,115,"7,1",361561,IN,Horror,Mystery
movie,2004,93,"7,3",483431,IN,Adventure,Animation
movie,2002,110,"7,2",304027,IN,Drama,Music
movie,2003,108,"6,7",10902,IN,Drama,Romance
movie,2002,113,"7,2",236244,IN,Comedy,Crime
movie,2002,120,"7,9",184726,IN,Action,Adventure
movie,2002,109,"7,8",47316,IN,Crime,Drama
tvSeries,2003,30,"6,6",20796,IN,Comedy,Family
movie,2003,121,"7,7",149542,IN,Comedy,Drama
